wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0% 0/276 [00:00<?, ?it/s]Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 1.7689, 'grad_norm': 1.3879674673080444, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.7062, 'grad_norm': 1.4656344652175903, 'learning_rate': 1e-05, 'epoch': 0.01}
{'loss': 1.7096, 'grad_norm': 1.388411521911621, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7107, 'grad_norm': 1.3234325647354126, 'learning_rate': 3e-05, 'epoch': 0.03}
{'loss': 1.6715, 'grad_norm': 1.2808302640914917, 'learning_rate': 4e-05, 'epoch': 0.04}
{'loss': 1.4579, 'grad_norm': 1.0474095344543457, 'learning_rate': 5e-05, 'epoch': 0.04}
{'loss': 1.5311, 'grad_norm': 0.9982858300209045, 'learning_rate': 6e-05, 'epoch': 0.05}
{'loss': 1.436, 'grad_norm': 0.997826874256134, 'learning_rate': 7e-05, 'epoch': 0.06}
{'loss': 1.2494, 'grad_norm': 0.9753428101539612, 'learning_rate': 8e-05, 'epoch': 0.07}
{'loss': 1.1775, 'grad_norm': 0.9814510941505432, 'learning_rate': 9e-05, 'epoch': 0.07}
{'loss': 1.1847, 'grad_norm': 0.6275021433830261, 'learning_rate': 0.0001, 'epoch': 0.08}
{'loss': 1.0754, 'grad_norm': 0.8777139782905579, 'learning_rate': 9.999651284354774e-05, 'epoch': 0.09}
{'loss': 1.099, 'grad_norm': 0.6645654439926147, 'learning_rate': 9.998605186060137e-05, 'epoch': 0.09}
{'loss': 1.0532, 'grad_norm': 0.7341151833534241, 'learning_rate': 9.996861851032426e-05, 'epoch': 0.1}
{'loss': 1.0135, 'grad_norm': 0.8234255909919739, 'learning_rate': 9.99442152244292e-05, 'epoch': 0.11}
{'loss': 1.0173, 'grad_norm': 0.8082693219184875, 'learning_rate': 9.991284540683922e-05, 'epoch': 0.12}
{'loss': 0.9715, 'grad_norm': 0.5629695057868958, 'learning_rate': 9.987451343321279e-05, 'epoch': 0.12}
